Environment_Coupling_Strength_Noise,Coherence_Time_Efficiency_s
0.01,0.0032258064516129032
0.012067926406393288,0.0026730412027570457
0.014563484775012436,0.00221499627420742
0.017575106248547922,0.001835440654522031
0.021209508879201904,0.001520924633373353
0.025595479226995357,0.0012603032055014895
0.030888435964774818,0.001044341142844401
0.0372759372031494,0.0008653857404128147
0.04498432668969444,0.0007170956395245793
0.054286754393238594,0.0005942161191376504
0.0655128556859551,0.000492392892637172
0.07906043210907697,0.0004080178118888053
0.09540954763499938,0.0003381010110176406
0.1151395399326447,0.00028016495927462995
0.13894954943731375,0.00023215666871004908
0.16768329368110074,0.00019237494569660147
0.20235896477251566,0.00015941010842980116
0.2442053094548651,0.0001320940342703363
0.29470517025518095,0.00010945876683533322
0.35564803062231287,9.070221606368486e-05
0.42919342601287763,7.515973582307655e-05
0.517947467923121,6.228057189945971e-05
0.6250551925273969,5.160834579374384e-05
0.7543120063354615,4.276488276097128e-05
0.9102981779915218,3.543681103185672e-05
1.0985411419875584,2.936445735456522e-05
1.325711365590108,2.4332645365660072e-05
1.5998587196060574,2.0163070726690245e-05
1.9306977288832496,1.6707982836229717e-05
2.329951810515372,1.3844949226221864e-05
2.811768697974228,1.1472517116848814e-05
3.3932217718953264,9.506618395328427e-06
4.094915062380423,7.877590627576299e-06
4.941713361323833,6.527708541048896e-06
5.963623316594643,5.4091385058419624e-06
7.196856730011514,4.482243530235932e-06
8.68511373751352,3.7141787075046714e-06
10.481131341546853,3.077727343064498e-06
12.648552168552959,2.5503365196476456e-06
15.264179671752318,2.113317925353392e-06
18.420699693267146,1.7511856255883433e-06
22.229964825261934,1.45110731257079e-06
26.826957952797247,1.2024495871983682e-06
32.374575428176435,9.964011601540262e-07
39.06939937054613,8.256606202256576e-07
47.1486636345739,6.841777057807073e-07
56.89866029018293,5.669389112434817e-07
68.66488450042998,4.6978983145201436e-07
82.86427728546842,3.8928794859333195e-07
100.0,3.225806451612903e-07
