Barrier_Width_A,P_tunneling,P_classical_fixed_T,Quantum_Advantage_Ratio
0.1,0.12868591616938038,1.3267376633328273e-05,9699.424364430517
0.11836734693877551,0.08830300673905456,1.3267376633328273e-05,6655.6493555201605
0.13673469387755102,0.06059265249271185,1.3267376633328273e-05,4567.040958232863
0.15510204081632656,0.041578080653042186,1.3267376633328273e-05,3133.85847120644
0.17346938775510207,0.028530468954116456,1.3267376633328273e-05,2150.4227808266614
0.19183673469387758,0.01957732646521875,1.3267376633328273e-05,1475.5989074765232
0.21020408163265308,0.013433768373809187,1.3267376633328273e-05,1012.5414198360006
0.2285714285714286,0.009218119391418107,1.3267376633328273e-05,694.7959378994154
0.2469387755102041,0.006325382629054815,1.3267376633328273e-05,476.76212139520914
0.2653061224489796,0.004340415187201563,1.3267376633328273e-05,327.14946648143206
0.2836734693877551,0.0029783501018190712,1.3267376633328273e-05,224.48673796877944
0.3020408163265306,0.0020437144711782447,1.3267376633328273e-05,154.04058599228563
0.3204081632653062,0.0014023767176170275,1.3267376633328273e-05,105.70113115611653
0.3387755102040817,0.0009622970751782619,1.3267376633328273e-05,72.5310739095871
0.3571428571428572,0.0006603187640409192,1.3267376633328273e-05,49.77010770781674
0.3755102040816327,0.00045310422466342373,1.3267376633328273e-05,34.151757139780344
0.3938775510204082,0.0003109156510280845,1.3267376633328273e-05,23.43459898824684
0.41224489795918373,0.00021334725388187474,1.3267376633328273e-05,16.080590743609132
0.43061224489795924,0.0001463967818552361,1.3267376633328273e-05,11.034342801988489
0.44897959183673475,0.00010045602813072052,1.3267376633328273e-05,7.571657224109419
0.46734693877551026,6.893193593407653e-05,1.3267376633328273e-05,5.195596525157526
0.48571428571428577,4.730041471912953e-05,1.3267376633328273e-05,3.5651671032168237
0.5040816326530613,3.245707816390552e-05,1.3267376633328273e-05,2.446382511096566
0.5224489795918368,2.227172698576414e-05,1.3267376633328273e-05,1.6786835560103508
0.5408163265306123,1.528263944226602e-05,1.3267376633328273e-05,1.1518961030981296
0.5591836734693878,1.048679648738484e-05,1.3267376633328273e-05,0.7904197474157412
0.5775510204081633,7.195936342231788e-06,1.3267376633328273e-05,0.5423782365652647
0.5959183673469388,4.937780560893233e-06,1.3267376633328273e-05,0.3721745976886867
0.6142857142857143,3.388256330790877e-06,1.3267376633328273e-05,0.25538253902277996
0.6326530612244898,2.324988083526276e-06,1.3267376633328273e-05,0.17524098002055633
0.6510204081632653,1.595383896848634e-06,1.3267376633328273e-05,0.12024863248707018
0.6693877551020408,1.094736698376355e-06,1.3267376633328273e-05,0.08251342587398362
0.6877551020408164,7.511975275288052e-07,1.3267376633328273e-05,0.05661989919256244
0.7061224489795919,5.154643360383563e-07,1.3267376633328273e-05,0.038852016512705735
0.7244897959183674,3.5370654453768145e-07,1.3267376633328273e-05,0.02665987062198521
0.7428571428571429,2.427099430589459e-07,1.3267376633328273e-05,0.018293740335165214
0.7612244897959184,1.6654516963115166e-07,1.3267376633328273e-05,0.012552984228455712
0.7795918367346939,1.1428165314485158e-07,1.3267376633328273e-05,0.008613733996046416
0.7979591836734694,7.841894348809285e-08,1.3267376633328273e-05,0.005910659330428654
0.8163265306122449,5.38103057539275e-08,1.3267376633328273e-05,0.004055836149156532
0.8346938775510204,3.692410119974127e-08,1.3267376633328273e-05,0.002783074772068066
0.8530612244897959,2.5336954144870916e-08,1.3267376633328273e-05,0.0019097184654593507
0.8714285714285714,1.7385968093484354e-08,1.3267376633328273e-05,0.001310429979790427
0.889795918367347,1.1930079867506389e-08,1.3267376633328273e-05,0.0008992041303431055
0.9081632653061225,8.186303165851306e-09,1.3267376633328273e-05,0.0006170250074371845
0.926530612244898,5.617360509526485e-09,1.3267376633328273e-05,0.0004233964757897512
0.9448979591836735,3.854577390392323e-09,1.3267376633328273e-05,0.00029053048669089895
0.963265306122449,2.6449729963612713e-09,1.3267376633328273e-05,0.00019935915512618937
0.9816326530612246,1.8149543887529065e-09,1.3267376633328273e-05,0.00013679828642187302
1.0,1.2454038047969284e-09,1.3267376633328273e-05,9.38696352124666e-05
