lifetime_mus,sensitivity_yield_per_uT
100.0,3.22788585571665e-06
61.58482110660264,1.2342784406760288e-06
37.926901907322495,4.6953988264153423e-07
23.357214690901223,1.7844249577958493e-07
14.38449888287663,6.666010632372377e-08
8.858667904100827,2.5624229738063775e-08
5.455594781168521,9.735866113302905e-09
3.359818286283783,3.663497727401932e-09
2.06913808111479,1.414714012604179e-09
1.2742749857031341,5.071970621273181e-10
0.7847599703514615,2.0331447636579014e-10
0.4832930238571752,7.7117201513488e-11
0.2976351441631319,2.9248270472237436e-11
0.18329807108324375,9.55113765854776e-12
0.11288378916846895,1.0307072972892684e-09
0.06951927961775606,1.616528910730608e-09
0.04281332398719396,1.161034601793176e-09
0.026366508987303607,2.0920265519919212e-10
0.016237767391887228,1.2728988973975675e-09
0.01,9.071521311909692e-11
